book_id,title,book_description
22125258,Get in Trouble,"She has been hailed by Michael Chabon as “the most darkly playful voice in American fiction” and by Neil Gaiman as “a national treasure.” Now Kelly Link’s eagerly awaited new collection--her first for adult readers in a decade--proves indelibly that this bewitchingly original writer is among the finest we have.Link has won an ardent following for her ability to take reader
  She has been hailed by Michael Chabon as “the most darkly playful voice in American fiction” and by Neil Gaiman as “a national treasure.” Now Kelly Link’s eagerly awaited new collection--her first for adult readers in a decade--proves indelibly that this bewitchingly original writer is among the finest we have.Link has won an ardent following for her ability to take readers deep into an unforgettable, brilliantly constructed fictional universe with each new story. In “The Summer People,” a young girl in rural North Carolina serves as uneasy caretaker to the mysterious, never-quite-glimpsed visitors who inhabit the cottage behind her house. In “I Can See Right Through You,” a middle-aged movie star makes a disturbing trip to the Florida swamp where his former on- and off-screen love interest is shooting a ghost-hunting reality show. In “The New Boyfriend,” a suburban slumber party takes an unusual turn, and a teenage friendship is tested, when the spoiled birthday girl opens her big present: a life-size animated doll.Hurricanes, astronauts, evil twins, bootleggers, Ouija boards, iguanas, The Wizard of Oz, superheroes, the Pyramids...These are just some of the talismans of an imagination as capacious and as full of wonder as that of any writer today. But as fantastical as these stories can be, they are always grounded in sly humor and an innate generosity of feeling for the frailty--and the hidden strengths--of human beings. In Get in Trouble, this one-of-a-kind talent expands the boundaries of what short fiction can do.
  ...more"
32076678,The Fact of a Body: A Murder and a Memoir,"Before Alexandria Marzano-Lesnevich begins a summer job at a law firm in Louisiana, working to help defend men accused of murder, she thinks her position is clear. The child of two lawyers, she is staunchly anti-death penalty. But the moment convicted murderer Ricky Langley’s face flashes on the screen as she reviews old tapes―the moment she hears him speak of his crimes―s
  Before Alexandria Marzano-Lesnevich begins a summer job at a law firm in Louisiana, working to help defend men accused of murder, she thinks her position is clear. The child of two lawyers, she is staunchly anti-death penalty. But the moment convicted murderer Ricky Langley’s face flashes on the screen as she reviews old tapes―the moment she hears him speak of his crimes―she is overcome with the feeling of wanting him to die. Shocked by her reaction, she digs deeper and deeper into the case. Despite their vastly different circumstances, something in his story is unsettlingly, uncannily familiar.Crime, even the darkest and most unsayable acts, can happen to any one of us. As Alexandria pores over the facts of the murder, she finds herself thrust into the complicated narrative of Ricky’s childhood. And by examining the details of Ricky’s case, she is forced to face her own story, to unearth long-buried family secrets, and reckon with a past that colors her view of Ricky's crime.But another surprise awaits: She wasn’t the only one who saw her life in Ricky’s.An intellectual and emotional thriller that is also a different kind of murder mystery, The Fact Of a Body is a book not only about how the story of one crime was constructed―but about how we grapple with our own personal histories. Along the way it tackles questions about the nature of forgiveness, and if a single narrative can ever really contain something as definitive as the truth. This groundbreaking, heart-stopping work, ten years in the making, shows how the law is more personal than we would like to believe―and the truth more complicated, and powerful, than we could ever imagine.
  ...more"
17910144,Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,"Ideas are the currency of the twenty-first century. In order to succeed, you need to be able to sell your ideas persuasively. This ability is the single greatest skill that will help you accomplish your dreams. Many people have a fear of public speaking or are insecure about their ability to give a successful presentation. Now public speaking coach and bestselling author C
  Ideas are the currency of the twenty-first century. In order to succeed, you need to be able to sell your ideas persuasively. This ability is the single greatest skill that will help you accomplish your dreams. Many people have a fear of public speaking or are insecure about their ability to give a successful presentation. Now public speaking coach and bestselling author Carmine Gallo explores what makes a great presentation by examining the widely acclaimed TED Talks, which have redefined the elements of a successful presentation and become the gold standard for public speaking. TED ? which stands for technology, entertainment, and design ? brings together the world's leading thinkers. These are the presentations that set the world on fire, and the techniques that top TED speakers use will make any presentation more dynamic, fire up any team, and give anyone the confidence to overcome their fear of public speaking.In his book, Carmine Gallo has broken down hundreds of TED talks and interviewed the most popular TED presenters, as well as the top researchers in the fields of psychology, communications, and neuroscience to reveal the nine secrets of all successful TED presentations. Gallo's step-by-step method makes it possible for anyone to deliver a presentation that is engaging, persuasive, and memorable.Carmine Gallo's top 10 Wall Street Journal Bestseller Talk Like TED will give anyone who is insecure about their public speaking abilities the tools to communicate the ideas that matter most to them, the skill to win over hearts and minds, and the confidence to deliver the talk of their lives.The opinions expressed by Carmine Gallo in TALK LIKE TED are his own. His book is not endorsed, sponsored or authorized by TED Conferences, LLC or its affiliates.
  ...more"
243353,"The Coroner's Lunch (Dr. Siri Paiboun, #1)","Laos, 1978: Dr. Siri Paiboun, a 72-year-old medical doctor, has been unwillingly appointed the national coroner of newly-socialist Laos. Though his lab is underfunded, his boss is incompetent, and his support staff is quirky to say the least, Siri’s sense of humor gets him through his often frustrating days.When the body of the wife of a prominent politician comes through
  Laos, 1978: Dr. Siri Paiboun, a 72-year-old medical doctor, has been unwillingly appointed the national coroner of newly-socialist Laos. Though his lab is underfunded, his boss is incompetent, and his support staff is quirky to say the least, Siri’s sense of humor gets him through his often frustrating days.When the body of the wife of a prominent politician comes through his morgue, Siri has reason to suspect the woman has been murdered. To get to the truth, Siri and his team face government secrets, spying neighbors, victim hauntings, Hmong shamans, botched romances, and other deadly dangers. Somehow, Siri must figure out a way to balance the will of the party and the will of the dead.
  ...more"
33559198,Black Privilege: Opportunity Comes to Those Who Create It,"Instant New York Times Bestseller Charlamagne Tha God—the self-proclaimed “Prince of Pissing People Off,” co-host of Power 105.1’s The Breakfast Club, and “hip-hop’s Howard Stern”—shares his unlikely success story as well as how embracing one’s truths is a fundamental key to success and happiness.In his new book, Charlamagne Tha God presents his comic, often controversial,
  Instant New York Times Bestseller Charlamagne Tha God—the self-proclaimed “Prince of Pissing People Off,” co-host of Power 105.1’s The Breakfast Club, and “hip-hop’s Howard Stern”—shares his unlikely success story as well as how embracing one’s truths is a fundamental key to success and happiness.In his new book, Charlamagne Tha God presents his comic, often controversial, and always brutally honest insights on how living an authentic life is the quickest path to success. Beginning with his journey from the small town of Moncks Corner, South Carolina to his headline grabbing interviews with celebrities like Justin Bieber, Jay-Z, Nicki Minaj, Kanye West, and Hillary Clinton, he shares how he turned his troubled early life around by owning his (many) mistakes and refusing to give up on his dreams, even after his controversial opinions got him fired from several on-air jobs. Combining his own story with bold advice and his signature commitment to honesty at all costs, Charlamagne hopes this book will give others the confidence to live their own truths.
  ...more"
486050,The Night Stalker,"Painstakingly researched over three years, based on nearly one hundred hours of exclusive interviews with Richard Ramirez on California's Death Row, The Night Stalker is the definitive account of America's most feared serial murderer.From Ramirez's earliest brushes with the law to his deadliest stalking expeditions to the unprecedented police and civilian manhunt that resu
  Painstakingly researched over three years, based on nearly one hundred hours of exclusive interviews with Richard Ramirez on California's Death Row, The Night Stalker is the definitive account of America's most feared serial murderer.From Ramirez's earliest brushes with the law to his deadliest stalking expeditions to the unprecedented police and civilian manhunt that resulted in one of the most sensational trials in California history, The Night Stalker is an eerie and spellbinding descent into the very heart of human evil.It is more than epic nonfiction at its most brutally real - it is true crime masterpiece.
  ...more"
31933250,"Al Franken, Giant of the Senate","From Senator Al Franken - #1 bestselling author and beloved SNL alum - comes the story of an award-winning comedian who decided to run for office and then discovered why award-winning comedians tend not to do that.This is a book about an unlikely campaign that had an even more improbable ending: the closest outcome in history and an unprecedented eight-month recount saga,
  From Senator Al Franken - #1 bestselling author and beloved SNL alum - comes the story of an award-winning comedian who decided to run for office and then discovered why award-winning comedians tend not to do that.This is a book about an unlikely campaign that had an even more improbable ending: the closest outcome in history and an unprecedented eight-month recount saga, which is pretty funny in retrospect.It's a book about what happens when the nation's foremost progressive satirist gets a chance to serve in the United States Senate and, defying the low expectations of the pundit class, actually turns out to be good at it.It's a book about our deeply polarized, frequently depressing, occasionally inspiring political culture, written from inside the belly of the beast.In this candid personal memoir, the honorable gentleman from Minnesota takes his army of loyal fans along with him from Saturday Night Live to the campaign trail, inside the halls of Congress, and behind the scenes of some of the most dramatic and/or hilarious moments of his new career in politics.Has Al Franken become a true Giant of the Senate? Franken asks readers to decide for themselves.
  ...more"
17305016,"Dreamer's Pool (Blackthorn & Grim, #1)","Award-winning author Juliet Marillier ""weaves magic, mythology, and folklore into every sentence on the page"" (The Book Smugglers). Now she begins an all-new and enchanting series that will transport readers to a magical vision of ancient Ireland...In exchange for help escaping her long and wrongful imprisonment, embittered magical healer Blackthorn has vowed to set aside
  Award-winning author Juliet Marillier ""weaves magic, mythology, and folklore into every sentence on the page"" (The Book Smugglers). Now she begins an all-new and enchanting series that will transport readers to a magical vision of ancient Ireland...In exchange for help escaping her long and wrongful imprisonment, embittered magical healer Blackthorn has vowed to set aside her bid for vengeance against the man who destroyed all that she once held dear. Followed by a former prison mate, a silent hulk of a man named Grim, she travels north to Dalriada. There she'll live on the fringe of a mysterious forest, duty bound for seven years to assist anyone who asks for her help. Oran, crown prince of Dalriada, has waited anxiously for the arrival of his future bride, Lady Flidais. He knows her only from a portrait and sweetly poetic correspondence that have convinced him Flidais is his destined true love. But Oran discovers letters can lie. For although his intended exactly resembles her portrait, her brutality upon arrival proves she is nothing like the sensitive woman of the letters.With the strategic marriage imminent, Oran sees no way out of his dilemma. Word has spread that Blackthorn possesses a remarkable gift for solving knotty problems, so the prince asks her for help. To save Oran from his treacherous nuptials, Blackthorn and Grim will need all their resources: courage, ingenuity, leaps of deduction, and more than a little magic.
  ...more"
16685439,The Price of Inequality: How Today's Divided Society Endangers Our Future,"A forceful argument against America's vicious circle of growing inequality by the Nobel Prize–winning economist.America currently has the most inequality, and the least equality of opportunity, among the advanced countries. While market forces play a role in this stark picture, politics has shaped those market forces. In this best-selling book, Nobel Prize–winning economis
  A forceful argument against America's vicious circle of growing inequality by the Nobel Prize–winning economist.America currently has the most inequality, and the least equality of opportunity, among the advanced countries. While market forces play a role in this stark picture, politics has shaped those market forces. In this best-selling book, Nobel Prize–winning economist Joseph E. Stiglitz exposes the efforts of well-heeled interests to compound their wealth in ways that have stifled true, dynamic capitalism. Along the way he examines the effect of inequality on our economy, our democracy, and our system of justice. Stiglitz explains how inequality affects and is affected by every aspect of national policy, and with characteristic insight he offers a vision for a more just and prosperous future, supported by a concrete program to achieve that vision.
  ...more"
32919530,A Mind at Play: How Claude Shannon Invented the Information Age,"The life and times of one of the foremost intellects of the twentieth century: Claude Shannon—the neglected architect of the Information Age, whose insights stand behind every computer built, email sent, video streamed, and webpage loaded.Claude Shannon was a groundbreaking polymath, a brilliant tinkerer, and a digital pioneer. He constructed a fleet of customized unicycle
  The life and times of one of the foremost intellects of the twentieth century: Claude Shannon—the neglected architect of the Information Age, whose insights stand behind every computer built, email sent, video streamed, and webpage loaded.Claude Shannon was a groundbreaking polymath, a brilliant tinkerer, and a digital pioneer. He constructed a fleet of customized unicycles and a flamethrowing trumpet, outfoxed Vegas casinos, and built juggling robots. He also wrote the seminal text of the digital revolution, which has been called “the Magna Carta of the Information Age.” His discoveries would lead contemporaries to compare him to Albert Einstein and Isaac Newton. His work anticipated by decades the world we’d be living in today—and gave mathematicians and engineers the tools to bring that world to pass.In this elegantly written, exhaustively researched biography, Jimmy Soni and Rob Goodman reveal Claude Shannon’s full story for the first time. It’s the story of a small-town Michigan boy whose career stretched from the era of room-sized computers powered by gears and string to the age of Apple. It’s the story of the origins of our digital world in the tunnels of MIT and the “idea factory” of Bell Labs, in the “scientists’ war” with Nazi Germany, and in the work of Shannon’s collaborators and rivals, thinkers like Alan Turing, John von Neumann, Vannevar Bush, and Norbert Wiener.And it’s the story of Shannon’s life as an often reclusive, always playful genius. With access to Shannon’s family and friends, A Mind at Play brings this singular innovator and creative genius to life.
  ...more"
